2.7	0.289474
2.738	0.157895
2.776	0.2
2.814	0.210526
2.852	0.331579
2.89	0.342105
2.928	0.357895
2.966	0.463158
3.004	0.484211
3.042	0.573684
3.08	0.657895
3.118	0.589474
3.156	0.747368
3.194	0.794737
3.232	0.905263
3.27	0.947368
3.308	0.857895
3.346	0.952632
3.384	0.873684
3.422	1.08421
3.46	1.01579
3.498	0.957895
3.536	1.09474
3.574	0.936842
3.612	1.01053
3.65	0.878947
3.688	0.8
3.726	0.805263
3.764	0.815789
3.802	0.657895
3.84	0.642105
3.878	0.536842
3.916	0.547368
3.954	0.526316
3.992	0.457895
4.03	0.378947
4.068	0.410526
4.106	0.273684
4.144	0.231579
4.182	0.157895
4.22	0.184211
4.258	0.152632
4.296	0.136842
4.334	0.0789474
4.372	0.126316
4.41	0.0894737
4.448	0.0526316
4.486	0.0157895
4.524	0.0263158
4.562	0.0105263
